"id","title","author","price","quantity"
1,"Atomic Habits","James Clear","499",20
2,"The Power of Now","Eckhart Tolle","399",15
3,"Rich Dad Poor Dad","Robert T. Kiyosaki","450",25
4,"The 7 Habits of Highly Effective People","Stephen R. Covey","550",20
5,"The Subtle Art of Not Giving a F*ck","Mark Manson","480",22
6,"To Kill a Mockingbird","Harper Lee","350",15
7,"1984","George Orwell","299",17
8,"The Alchemist","Paulo Coelho","390",19
9,"The Psychology of Money","Morgan Housel","499",24
10,"Think and Grow Rich","Napoleon Hill","430",21
